team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
PHO,1974,N,3381,7561,1535,2082,1349,2684,4033,1879,2090,664,1760,317,0,0,8297,3356,7323,1780,2350,1112,2564,3676,2062,1992,870,1586,412,0,0,8492,107.0905,32,50
POR,1974,N,3414,7113,1680,2265,1049,2758,3807,2209,2055,755,1833,399,0,0,8508,3379,7502,1714,2178,1207,2572,3779,2090,2085,927,1607,383,0,0,8472,107.3011,38,44
SAS,1974,A,3779,7909,1926,2373,0,0,4260,1870,2043,0,0,0,41,0,9525,3731,7909,1599,2129,0,0,3886,2082,2157,0,0,0,112,0,9173,0,51,33
SDQ,1974,A,3845,8352,1418,1848,0,0,4035,2103,1778,0,0,0,123,0,9231,3975,8374,1661,2161,0,0,4401,2101,1791,0,0,0,88,0,9699,0,31,53
SEA,1974,N,3488,7653,1475,1970,1142,2579,3721,1997,1977,837,1610,378,0,0,8451,3490,7606,1560,2090,1286,2754,4040,2188,1948,692,1755,349,0,0,8540,108.682,43,39
STL,1974,A,3771,8005,1583,2136,0,0,4294,2111,2051,0,0,0,31,0,9156,3897,7952,1663,2166,0,0,3820,2276,1984,0,0,0,65,0,9522,0,32,52
UTS,1974,A,3375,7136,1665,2162,0,0,3972,1774,1921,0,0,0,94,0,8509,3503,7611,1549,2027,0,0,3776,1849,2029,0,0,0,90,0,8645,0,38,46
VIR,1974,A,3328,7432,1585,2146,0,0,3689,1704,2160,0,0,0,76,0,8317,3635,7582,1864,2414,0,0,4070,1848,2045,0,0,0,66,0,9200,0,15,69
WA1,1974,N,3555,7697,1475,1962,1133,2764,3897,2005,1961,929,1594,409,0,0,8585,3249,7415,1499,1967,1184,2819,4003,1811,2004,710,1842,259,0,0,7997,108.5451,60,22
ATL,1975,N,3301,7338,1809,2467,1225,2540,3765,1666,1983,790,1553,277,0,0,8411,3529,7357,1592,2102,1186,2728,3914,1778,2177,779,1663,427,0,0,8650,105.829,29,53
BOS,1975,N,3527,7901,1654,2120,1369,2972,4341,1980,2002,561,1609,260,0,0,8708,3489,7772,1538,2074,1037,2659,3696,1835,1895,650,1422,334,0,0,8516,109.6548,54,28
BUF,1975,N,3481,7307,1833,2368,1002,2719,3721,2112,2017,720,1743,366,0,0,8795,3558,7722,1611,2156,1183,2645,3828,2079,2137,729,1660,319,0,0,8727,110.2241,46,36
CHI,1975,N,3106,7499,1651,2197,1375,2726,4101,1704,1977,627,1413,255,0,0,7863,3246,6946,1609,2137,930,2809,3739,1669,2081,615,1485,461,0,0,8101,102.4119,24,58
CLE,1975,N,3497,7709,1346,1827,1192,2588,3780,1844,1871,638,1330,397,0,0,8340,3262,7188,1610,2152,1134,2792,3926,1728,1860,610,1579,325,0,0,8134,104.1392,49,33
DEN,1975,A,4059,8036,2078,2667,0,0,4087,2442,1988,0,0,0,41,0,10237,4027,8683,1567,2061,0,0,4240,2133,2287,0,0,0,113,0,9734,0,60,24
DET,1975,N,3524,7598,1557,2049,1205,2545,3750,1751,2086,786,1619,332,0,0,8605,3492,7479,1707,2211,1218,2690,3908,2014,1914,724,1671,437,0,0,8691,107.6908,36,46
GSW,1975,N,3691,7982,1620,2158,1349,2912,4261,2041,2022,928,1613,416,0,0,9002,3437,7742,1583,2150,1288,2730,4018,2006,1946,743,1761,395,0,0,8457,110.9431,59,23
HOU,1975,N,3546,7304,1616,2046,1059,2644,3703,2213,2045,656,1665,359,0,0,8708,3603,7551,1568,2072,1116,2473,3589,2028,2050,684,1522,311,0,0,8774,106.8478,40,42
IND,1975,A,3735,8525,1740,2253,0,0,4352,2087,1981,0,0,0,250,0,9460,3869,8132,1679,2156,0,0,4604,2139,2060,0,0,0,63,0,9480,0,39,45
KCO,1975,N,3341,7379,1792,2335,1133,2668,3801,1864,2056,751,1607,324,0,0,8474,3477,7454,1753,2310,1153,2778,3931,1825,2124,680,1639,321,0,0,8707,107.802,31,51
KEN,1975,A,3756,8000,1703,2313,0,0,4362,2068,2257,0,0,0,111,0,9326,3581,8022,2004,2581,0,0,4168,1901,2132,0,0,0,87,0,9253,0,46,38
LAL,1975,N,3547,7622,1670,2164,1132,2870,4002,1939,2025,674,1612,528,0,0,8764,3592,7980,1573,2148,1384,2837,4221,2032,1987,775,1564,363,0,0,8757,109.751,40,42
MIL,1975,N,3456,7435,1437,1952,1094,2688,3782,1817,2041,715,1624,468,0,0,8349,3402,7624,1664,2182,1229,2604,3833,1897,1828,683,1503,325,0,0,8468,106.8662,38,44
NOJ,1975,N,3352,7491,1831,2415,1189,2779,3968,1765,2175,750,1659,343,0,0,8535,3396,7413,1816,2464,1182,2846,4028,1684,2162,777,1748,405,0,0,8608,109.3127,38,44
NYK,1975,N,3443,7555,1532,1985,1022,2723,3745,1660,2006,575,1403,259,0,0,8418,3407,7426,1705,2274,1068,2891,3959,1812,1954,608,1453,335,0,0,8519,106.4975,38,44
NYN,1975,A,3752,8148,1775,2333,0,0,4243,1817,2209,0,0,0,111,0,9390,3552,7837,1930,2515,0,0,4287,1986,2032,0,0,0,108,0,9142,0,55,29
PHI,1975,N,3462,7752,1811,2469,1385,2684,4069,1658,2187,809,1729,367,0,0,8735,3467,7737,1780,2334,1435,2717,4152,1849,2151,730,1794,342,0,0,8714,110.6336,46,36
PHO,1975,N,3420,7251,1780,2337,1108,2558,3666,2083,2018,853,1852,349,0,0,8620,3444,7357,1682,2265,1143,2513,3656,1979,2163,912,1746,336,0,0,8570,108.6667,42,40
POR,1975,N,3417,7292,1699,2350,1116,2843,3959,2094,2091,776,1867,408,0,0,8533,3405,7531,1825,2333,1121,2657,3778,1920,2128,917,1613,386,0,0,8635,109.553,37,45
SAS,1975,A,3888,7945,1905,2342,0,0,4232,2146,2032,0,0,0,26,0,9707,3760,8111,1720,2254,0,0,3935,2036,2141,0,0,0,122,0,9362,0,50,34
SDS,1975,A,432,1020,217,278,0,0,550,215,253,0,0,0,6,0,1087,446,997,234,305,0,0,536,255,273,0,0,0,12,0,1138,0,3,8
SEA,1975,N,3542,7730,1642,2309,1217,2498,3715,1935,2133,866,1615,355,0,0,8726,3486,7464,1777,2407,1239,2713,3952,2109,2111,745,1852,388,0,0,8749,110.4808,43,39
STL,1975,A,3790,8177,1500,1985,0,0,4288,1987,2147,0,0,0,66,0,9146,3714,7986,1899,2384,0,0,4152,1971,1888,0,0,0,89,0,9416,0,35,49
UTS,1975,A,715,1498,386,467,0,0,781,378,468,0,0,0,23,0,1839,740,1520,366,478,0,0,742,429,461,0,0,0,20,0,1866,0,4,12
VIR,1975,A,3431,7844,1939,2533,0,0,3920,1724,2142,0,0,0,72,0,8873,3869,7905,1844,2437,0,0,4151,2014,2203,0,0,0,92,0,9674,0,15,68
WA1,1975,N,3416,7234,1595,2215,1019,2812,3831,1823,1921,696,1672,485,0,0,8427,3377,7636,1482,1992,1145,2687,3832,1705,1988,810,1510,338,0,0,8236,107.2114,48,34
ATL,1976,N,3279,7176,1836,2451,1244,2512,3756,1882,2302,733,1779,330,0,0,8394,3409,7137,1909,2527,1121,2533,3654,2020,2174,803,1692,442,0,0,8727,106.4271,31,51
BOS,1976,N,3462,7775,1648,2181,1241,2966,4207,2010,2039,506,1673,263,0,0,8572,3559,7904,1616,2180,1110,2753,3863,1918,1954,699,1369,349,0,0,8734,110.534,44,38
BUF,1976,N,3366,7475,1880,2492,1213,2623,3836,1883,1842,683,1699,392,0,0,8612,3786,7917,1404,1859,1268,2721,3989,2192,2129,729,1607,446,0,0,8976,109.5827,30,52
CHI,1976,N,3249,7186,1613,2159,1292,2705,3997,1989,1871,699,1552,364,0,0,8111,3306,7095,1425,1907,1055,2559,3614,1917,2166,723,1598,460,0,0,8037,101.9772,44,38
CLE,1976,N,3451,7688,1468,1993,1312,2563,3875,1845,1951,579,1356,472,0,0,8370,3265,7268,1748,2325,1202,2711,3913,1736,1908,660,1542,389,0,0,8278,104.1946,43,39
DEN,1976,N,3590,7471,2053,2783,1288,2700,3988,2262,2142,953,2011,471,0,0,9233,3585,7743,1635,2231,1269,2481,3750,2082,2285,941,1944,470,0,0,8805,113.7331,50,32
DET,1976,N,3764,7792,1442,1960,1169,2495,3664,2004,2200,877,1718,459,0,0,8970,3561,7539,1933,2543,1317,2637,3954,1952,1827,793,1828,381,0,0,9055,111.0386,44,38
GSW,1976,N,3724,7832,1649,2172,1300,2639,3939,2120,2058,904,1624,432,0,0,9097,3567,7584,1699,2282,1256,2640,3896,2114,1939,757,1778,420,0,0,8833,110.1286,46,36
HOU,1976,N,3535,7325,1656,2103,1254,2632,3886,1913,2132,616,1600,411,0,0,8726,3424,7356,1746,2252,1121,2232,3353,1883,1978,547,1395,350,0,0,8594,104.0573,49,33
IND,1976,N,3522,7840,1714,2297,1409,2584,3993,2009,2030,924,1609,458,0,0,8758,3599,7629,1705,2252,1378,2770,4148,2097,2043,715,1792,466,0,0,8903,109.2994,36,46
KCK,1976,N,3561,7733,1706,2140,1222,2593,3815,1982,2173,849,1576,386,0,0,8828,3422,7244,1912,2513,1097,2739,3836,1744,2030,722,1755,392,0,0,8756,109.0078,40,42
LAL,1976,N,3663,7657,1437,1941,1177,2628,3805,2057,1867,801,1538,445,0,0,8763,3515,7781,1510,1990,1348,2625,3973,1900,1816,763,1599,362,0,0,8540,107.4565,53,29
MIL,1976,N,3668,7840,1553,2072,1220,2519,3739,1970,2094,790,1648,342,0,0,8889,3712,7753,1721,2330,1265,2613,3878,2193,1940,736,1644,410,0,0,9145,110.8244,30,52
NOJ,1976,N,3443,7602,1688,2183,1249,2828,4077,1854,2099,613,1706,357,0,0,8574,3486,7712,1833,2448,1318,2781,4099,1748,2125,835,1615,361,0,0,8805,109.4268,35,47
NYK,1976,N,3659,7530,1587,2078,974,2680,3654,1956,2007,714,1680,304,0,0,8905,3577,7610,1752,2327,1163,2716,3879,1847,2008,793,1612,412,0,0,8906,110.1977,40,42
NYN,1976,N,3096,7222,1673,2274,1157,2547,3704,1422,2178,802,1630,435,0,0,7865,3279,7074,1863,2488,1149,2937,4086,1910,1970,778,1735,512,0,0,8421,105.4659,22,60
PHI,1976,N,3511,7322,2012,2732,1293,2752,4045,1966,2074,814,1915,561,0,0,9034,3575,7920,1561,2074,1416,2448,3864,2012,2232,823,1769,371,0,0,8711,110.7927,50,32
PHO,1976,N,3406,7249,1791,2345,1059,2493,3552,2100,2089,750,1830,346,0,0,8603,3320,7192,1903,2525,1180,2594,3774,1856,2325,897,1835,440,0,0,8543,108.8476,34,48
POR,1976,N,3623,7537,1917,2515,1260,2703,3963,1990,2220,868,1757,492,0,0,9163,3408,7404,1889,2514,1197,2510,3707,1817,2242,840,1765,478,0,0,8705,110.1105,49,33
SAS,1976,N,3711,7657,2010,2522,1110,2550,3660,2115,1966,857,1770,499,0,0,9432,3935,8075,1512,2059,1329,2687,4016,2159,2189,811,1822,420,0,0,9382,114.2316,44,38
SEA,1976,N,3439,7639,1646,2386,1355,2433,3788,1772,2198,932,1759,503,0,0,8524,3394,7339,1863,2474,1257,2651,3908,2046,2104,726,1905,476,0,0,8651,109.8061,40,42
WA1,1976,N,3514,7479,1622,2264,1185,2758,3943,1935,1940,642,1677,433,0,0,8650,3552,7751,1462,1943,1167,2565,3732,1893,2088,815,1506,348,0,0,8566,108.257,48,34
ATL,1977,N,3335,7253,1836,2316,1160,2359,3519,1901,2470,916,1592,408,0,0,8506,3162,6671,2193,2930,1160,2606,3766,1774,2122,750,1980,484,0,0,8517,105.6712,41,41
BOS,1977,N,3494,7635,1682,2159,1235,2850,4085,1969,2033,643,1652,295,0,0,8670,3539,7761,1752,2278,1142,2575,3717,1981,1871,763,1412,374,0,0,8830,109.0016,32,50
BUF,1977,N,3413,7323,1808,2314,1083,2538,3621,1975,2017,650,1575,327,0,0,8634,3623,7609,1695,2250,1178,2587,3765,2137,2003,722,1476,375,0,0,8941,107.1575,27,55
CHI,1977,N,3330,7041,1863,2471,1248,2577,3825,2119,1930,665,1667,322,0,0,8523,3565,7273,1466,1980,1065,2367,3432,2076,2199,777,1479,451,0,0,8596,103.3818,40,42
CLE,1977,N,3496,7707,1569,2116,1187,2676,3863,1740,1832,692,1382,455,0,0,8561,3474,7620,1574,2113,1214,2779,3993,1915,1952,690,1475,446,0,0,8522,106.6353,43,39
DEN,1977,N,3548,7441,2068,2705,1177,2736,3913,2187,2116,824,1748,422,0,0,9164,3678,7799,1740,2365,1267,2546,3813,2248,2220,877,1620,524,0,0,9096,111.1744,48,34
DET,1977,N,3552,7424,1832,2490,1229,2601,3830,1840,1980,866,1858,330,0,0,8936,3688,7706,1662,2177,1244,2494,3738,2105,2088,902,1719,395,0,0,9038,110.5258,38,44
GSW,1977,N,3574,7654,1550,2081,1183,2629,3812,2097,2113,873,1518,405,0,0,8698,3425,7368,1820,2408,1185,2794,3979,2037,1975,728,1738,408,0,0,8670,108.0943,43,39
HOU,1977,N,3523,7691,1467,1896,1301,2421,3722,1942,2025,683,1376,319,0,0,8513,3571,7404,1699,2238,1195,2525,3720,1990,1752,605,1410,360,0,0,8841,103.9772,28,54
IND,1977,N,3500,7783,1904,2564,1386,2624,4010,1982,2230,808,1642,456,0,0,8904,3634,7663,1841,2455,1350,2793,4143,2259,2135,727,1762,466,0,0,9109,110.7366,31,51
KCK,1977,N,3601,7731,1775,2262,1208,2632,3840,1992,2228,794,1690,370,0,0,8977,3564,7521,2004,2635,1232,2684,3916,1928,2088,796,1694,408,0,0,9132,110.9078,31,51
LAL,1977,N,3734,7672,1576,2095,1136,2647,3783,2229,1964,802,1548,409,0,0,9044,3648,7880,1529,2050,1365,2599,3964,2073,1919,756,1570,379,0,0,8825,108.7448,45,37
MIL,1977,N,3801,7883,1612,2220,1239,2480,3719,2306,2038,867,1680,472,0,0,9214,3715,7728,1832,2404,1234,2617,3851,2248,2019,790,1783,468,0,0,9262,112.6295,44,38
NJN,1977,N,3547,8004,1652,2304,1306,2595,3901,1879,2312,857,1774,631,0,0,8746,3544,7620,2135,2830,1312,2996,4308,2073,1999,852,1864,560,0,0,9223,114.2456,24,58
NOJ,1977,N,3568,7717,1690,2331,1309,2907,4216,2079,1938,662,1694,514,0,0,8826,3659,7938,1661,2213,1273,2747,4020,2084,2062,851,1511,476,0,0,8979,110.4646,39,43
NYK,1977,N,3815,7822,1670,2225,1180,2689,3869,2338,2193,818,1764,442,0,0,9300,3658,7742,2029,2785,1254,2623,3877,2113,1989,879,1677,357,0,0,9345,113.4747,43,39
PHI,1977,N,3628,7471,2153,2863,1299,2694,3993,2220,2188,800,1752,548,0,0,9409,3592,7788,1803,2435,1363,2473,3836,2095,2287,823,1709,346,0,0,8987,111.1401,55,27
PHO,1977,N,3731,7836,1749,2329,1166,2579,3745,2338,1956,1059,1766,372,0,0,9211,3578,7622,1749,2319,1202,2743,3945,1988,2178,937,1969,372,0,0,8905,114.0472,49,33
POR,1977,N,3556,7367,1717,2259,1187,2686,3873,2067,2068,798,1625,390,0,0,8829,3289,7318,1747,2282,1187,2523,3710,1818,2093,748,1624,390,0,0,8325,106.1172,58,24
SAS,1977,N,3794,7594,1797,2234,1030,2594,3624,2240,1871,797,1665,553,0,0,9385,3808,8063,1494,1996,1345,2576,3921,2145,2059,837,1662,379,0,0,9110,111.6301,52,30
SEA,1977,N,3445,7715,1675,2352,1456,2601,4057,1799,2008,782,1636,429,0,0,8565,3384,7377,1670,2203,1121,2600,3721,1956,2067,735,1646,410,0,0,8438,107.5868,47,35
WA1,1977,N,3580,7772,1887,2655,1349,2815,4164,1948,1879,668,1613,386,0,0,9047,3767,8065,1437,1895,1166,2683,3849,2144,2312,779,1437,427,0,0,8971,111.0487,44,38
ATL,1978,N,3505,7410,1940,2534,1381,2341,3722,1938,2424,801,1523,596,0,0,8950,3367,6886,2045,2727,1176,2440,3616,1928,2135,646,1799,559,0,0,8779,105.016,46,36
BOS,1978,N,3527,7347,1820,2321,1119,2396,3515,1995,1977,710,1713,283,0,0,8874,3855,7593,1578,2079,1122,2453,3575,2170,2025,717,1603,438,0,0,9288,108.4922,29,53
CHI,1978,N,3478,7108,1632,2184,1224,2544,3768,2169,1970,576,1813,324,0,0,8588,3682,7408,1549,2029,1095,2377,3472,2146,2093,844,1468,503,0,0,8913,104.7494,31,51
CLE,1978,N,3556,7602,1620,2103,1229,2256,3485,1796,2027,688,1376,334,0,0,8732,3600,7150,1837,2423,1123,2587,3710,2062,2001,658,1557,503,0,0,9037,104.7054,30,52
DEN,1978,N,3517,7311,2046,2841,1307,2596,3903,2166,2106,673,1666,416,0,0,9080,3631,7616,1713,2277,1218,2429,3647,2173,2262,738,1529,471,0,0,8975,107.8752,47,35
DET,1978,N,3708,7802,1607,2242,1303,2380,3683,2092,2141,847,1599,550,0,0,9023,3755,7623,1732,2295,1301,2628,3929,2197,1914,666,1744,504,0,0,9242,109.757,30,52
GSW,1978,N,3627,7453,1367,1872,1169,2513,3682,2064,2023,774,1500,420,0,0,8621,3493,7255,1604,2155,1147,2533,3680,2094,1854,637,1580,362,0,0,8590,104.2185,38,44
HOU,1978,N,3726,7498,1845,2330,1256,2504,3760,2302,2001,632,1510,286,0,0,9297,3795,7625,1627,2211,1186,2315,3501,2278,2055,660,1400,431,0,0,9217,106.3046,47,35
IND,1978,N,3575,7525,1759,2317,1225,2530,3755,2005,2093,687,1536,416,0,0,8909,3586,7499,1868,2416,1299,2605,3904,2178,2091,677,1618,437,0,0,9040,107.1959,38,44
KCK,1978,N,3764,7644,1746,2392,1191,2404,3595,2239,2419,825,1631,390,0,0,9274,3434,7061,2170,2897,1156,2547,3703,1776,2223,678,1879,435,0,0,9038,109.9678,48,34
LAL,1978,N,3827,7397,1606,2088,949,2557,3506,2338,1851,793,1569,500,0,0,9260,3797,7848,1415,1931,1288,2486,3774,2234,1958,737,1542,359,0,0,9009,108.1076,47,35
MIL,1978,N,3906,7773,1541,2021,1157,2370,3527,2562,2106,862,1574,435,0,0,9353,3676,7505,1819,2415,1229,2437,3666,2301,1928,763,1748,462,0,0,9171,109.7906,38,44
NJN,1978,N,3464,7523,1904,2613,1241,2370,3611,1907,2329,853,1861,619,0,0,8832,3507,7306,2160,2861,1234,2667,3901,2185,2208,861,1919,492,0,0,9174,112.0675,37,45
NOJ,1978,N,3517,7511,1848,2409,1234,2676,3910,2079,1940,760,1764,559,0,0,8882,3864,8039,1666,2246,1486,2664,4150,2264,2061,955,1600,566,0,0,9394,110.2521,26,56
NYK,1978,N,3676,7554,1478,2111,1200,2430,3630,2121,2154,699,1605,397,0,0,8830,3600,7457,1907,2506,1225,2489,3714,2114,1961,751,1558,378,0,0,9107,107.4616,31,51
PHI,1978,N,3584,7338,1815,2411,1149,2712,3861,2253,2072,779,1771,599,0,0,8983,3542,7626,1747,2331,1252,2506,3758,2094,2128,795,1627,353,0,0,8831,109.0753,47,35
PHO,1978,N,3847,7516,1765,2299,1083,2379,3462,2500,1944,915,1760,337,0,0,9459,3775,7626,1606,2127,1238,2424,3662,2091,2144,890,1841,402,0,0,9156,111.0212,50,32
POR,1978,N,3541,7338,1806,2362,1256,2435,3691,1946,2187,776,1658,512,0,0,8888,3448,7059,1889,2501,1080,2350,3430,1963,2206,797,1650,422,0,0,8785,105.8191,45,37
SAS,1978,N,3927,7760,1926,2423,1096,2619,3715,2313,2071,829,1652,509,0,0,9780,3798,7970,1759,2343,1297,2531,3828,2232,2168,788,1700,405,0,0,9355,113.539,48,34
SDC,1978,N,3721,7706,1836,2471,1392,2413,3805,1539,2127,703,1623,392,0,0,9278,3832,7801,1760,2295,1294,2322,3616,1896,2064,747,1517,350,0,0,9424,109.1391,43,39
SEA,1978,N,3504,7484,1732,2298,1310,2591,3901,1973,1914,690,1586,398,0,0,8740,3475,7509,1567,2108,1156,2453,3609,1910,2057,755,1493,407,0,0,8517,106.0362,52,30
WA1,1978,N,3819,7873,1785,2428,1309,2768,4077,2169,1804,614,1420,401,0,0,9423,3804,8011,1406,1897,1178,2541,3719,2180,2144,726,1338,434,0,0,9014,109.1389,54,28
ATL,1979,N,3261,7027,2038,2645,1369,2406,3775,1913,2293,782,1495,539,13,0,8573,3144,6872,2000,2616,1261,2339,3600,1758,2171,682,1660,554,46,0,8334,101.1661,50,32
BOS,1979,N,3617,7387,1907,2449,1227,2457,3684,2198,1974,809,1539,308,162,0,9303,3439,7313,1712,2222,1168,2294,3462,1867,2059,686,1635,419,74,0,8664,105.9734,61,21
CHI,1979,N,3362,6943,2019,2592,1115,2465,3580,2152,2146,704,1684,392,70,0,8813,3585,7222,1811,2358,1159,2345,3504,2109,2203,846,1543,498,54,0,9035,104.5335,30,52
CLE,1979,N,3811,8041,1702,2205,1307,2381,3688,2108,1934,764,1370,342,36,0,9360,3811,7610,1645,2150,1230,2638,3868,2208,2033,708,1667,490,65,0,9332,109.1945,37,45
DEN,1979,N,3462,7470,1871,2539,1311,2524,3835,2079,1917,746,1533,404,83,0,8878,3736,7591,1698,2235,1197,2587,3784,2289,2033,812,1438,455,70,0,9240,106.5192,30,52
DET,1979,N,3643,7596,1590,2149,1226,2415,3641,1950,2069,783,1742,562,57,0,8933,3847,7761,1858,2405,1319,2572,3891,2306,1871,874,1583,470,57,0,9609,109.6391,16,66
GSW,1979,N,3527,7318,1412,1914,1155,2437,3592,2028,2082,779,1492,339,27,0,8493,3438,6975,1905,2544,1056,2564,3620,2091,1785,720,1486,361,72,0,8853,102.8746,24,58
HOU,1979,N,3599,7496,1782,2326,1394,2217,3611,2149,1927,782,1565,373,104,0,9084,3658,7382,1696,2153,1290,2317,3607,2223,2049,778,1597,428,58,0,9070,104.7194,41,41
IND,1979,N,3639,7689,1753,2333,1398,2326,3724,2148,1973,900,1517,530,88,0,9119,3693,7545,1734,2295,1394,2552,3946,2323,2028,738,1758,470,56,0,9176,107.2974,37,45
KCK,1979,N,3582,7489,1671,2250,1187,2429,3616,2123,2135,863,1439,356,25,0,8860,3328,6992,1906,2497,1140,2644,3784,1778,2072,695,1762,425,41,0,8603,105.426,47,35
LAL,1979,N,3898,7368,1622,2092,1085,2653,3738,2413,1784,774,1639,546,20,0,9438,3723,7921,1430,1884,1312,2242,3554,2324,1860,797,1420,382,78,0,8954,106.9779,60,22
MIL,1979,N,3685,7553,1605,2102,1245,2396,3641,2277,1937,778,1496,510,50,0,9025,3456,7487,1714,2275,1360,2293,3653,2154,1912,717,1638,358,76,0,8702,105.7355,49,33
NJN,1979,N,3456,7504,1882,2406,1229,2535,3764,2094,2181,869,1702,581,85,0,8879,3480,7427,1957,2572,1285,2596,3881,2189,2042,849,1692,514,58,0,8975,108.7963,34,48
NYK,1979,N,3802,7672,1698,2274,1236,2303,3539,2265,2168,881,1613,457,42,0,9344,3707,7492,1969,2556,1293,2432,3725,2143,2042,813,1694,390,56,0,9438,109.1945,39,43
PHI,1979,N,3523,7156,1876,2431,1187,2635,3822,2226,1860,792,1708,652,27,0,8949,3444,7561,1640,2145,1318,2352,3670,2089,2100,876,1561,388,75,0,8603,105.7328,59,23
PHO,1979,N,3570,7235,1906,2466,1071,2458,3529,2283,1853,908,1629,344,68,0,9114,3563,7480,1593,2119,1216,2447,3663,2026,2051,882,1663,389,100,0,8819,107.2012,55,27
POR,1979,N,3408,7167,1560,2100,1295,2408,3703,1898,1956,708,1552,472,26,0,8402,3349,7008,1716,2281,1138,2358,3496,2008,1880,756,1450,395,55,0,8469,100.76,38,44
SAS,1979,N,3856,7738,2024,2528,1153,2515,3668,2326,2103,771,1589,333,52,0,9788,4000,7997,1731,2283,1248,2472,3720,2537,2192,828,1513,457,88,0,9819,112.1296,41,41
SDC,1979,N,3524,7494,1595,2167,1294,2308,3602,1688,1896,664,1443,288,177,0,8820,3752,7508,1613,2086,1222,2487,3709,2012,1889,764,1391,408,43,0,9160,103.9008,35,47
SEA,1979,N,3554,7565,1730,2253,1380,2550,3930,2043,1865,750,1496,428,59,0,8897,3408,7424,1640,2147,1203,2409,3612,2016,1997,728,1519,393,59,0,8515,104.9022,56,26
UTA,1979,N,3382,6817,1571,1943,967,2359,3326,2005,2006,656,1543,362,59,0,8394,3559,7182,1702,2205,1159,2288,3447,1997,1782,710,1274,398,67,0,8887,99.81403,24,58
WA1,1979,N,3574,7796,1552,2048,1334,2723,4057,2201,1893,530,1380,443,73,0,8773,3615,7771,1696,2184,1197,2672,3869,2120,1901,734,1222,519,56,0,8982,105.7669,39,43
ATL,1980,N,3291,6866,2012,2590,1201,2224,3425,1846,2276,749,1605,469,10,0,8604,3401,6867,2024,2641,1207,2318,3525,1935,2209,748,1685,555,32,0,8858,102.2407,31,51
BOS,1980,N,3581,7099,1781,2369,1155,2424,3579,2202,1990,683,1577,594,65,0,9008,3372,7296,1752,2277,1192,2174,3366,1890,2059,736,1473,351,30,0,8526,103.6042,62,20
CHI,1980,N,3457,6903,1985,2563,1227,2475,3702,1925,2058,729,1672,514,38,0,8937,3527,7209,1669,2211,1145,2096,3241,1950,2135,784,1502,441,52,0,8775,102.8325,45,37
CLE,1980,N,3556,7609,1486,1909,1258,2243,3501,2007,1995,632,1396,322,72,0,8670,3608,7174,1800,2395,1158,2499,3657,2166,1956,681,1474,454,52,0,9068,103.5348,28,54
DAL,1980,N,3204,6928,1868,2487,1109,2177,3286,1984,2008,561,1439,214,46,0,8322,3622,7060,1731,2297,1173,2498,3671,2098,2187,713,1433,480,36,0,9011,100.8284,15,67
DEN,1980,N,3784,7960,2388,3051,1325,2497,3822,2030,2108,720,1444,380,30,0,9986,4059,8017,1863,2507,1320,2680,4000,2529,2387,704,1555,547,44,0,10025,113.4815,37,45
DET,1980,N,3236,6986,1689,2330,1201,2111,3312,1819,2125,884,1759,492,13,0,8174,3499,6869,1663,2217,1090,2396,3486,2033,2095,793,1797,585,31,0,8692,103.4739,21,61
GSW,1980,N,3560,7284,1826,2513,1403,2366,3769,2026,2158,611,1547,301,60,0,9006,3631,7204,1804,2411,1137,2210,3347,2223,2093,714,1385,386,37,0,9103,103.0259,39,43
HOU,1980,N,3573,7335,1711,2223,1216,2347,3563,2099,1901,705,1451,390,21,0,8878,3617,7341,1568,2108,1177,2367,3544,2191,1977,689,1430,367,49,0,8851,103.1654,40,42
IND,1980,N,3491,7245,1815,2540,1325,2267,3592,2091,2006,833,1491,484,30,0,8827,3457,7071,1757,2290,1246,2407,3653,2113,2064,695,1655,439,41,0,8712,102.8424,44,38
KCK,1980,N,3572,7151,1576,2206,1037,2450,3487,2271,2092,719,1448,385,49,0,8769,3424,7117,1889,2500,1138,2510,3648,1857,2015,717,1520,383,31,0,8768,103.5401,40,42
LAL,1980,N,3780,7382,1540,2113,1165,2491,3656,2363,1955,808,1557,551,17,0,9117,3581,7701,1598,2158,1378,2274,3652,2280,1869,754,1473,357,42,0,8802,105.4597,54,28
MIL,1980,N,3722,7472,1802,2340,1261,2408,3669,2319,2198,862,1581,530,30,0,9276,3311,7220,2023,2701,1265,2209,3474,2033,2050,735,1670,400,35,0,8680,106.5826,60,22
NJN,1980,N,3477,7314,1780,2371,1092,2374,3466,2068,2204,750,1664,458,34,0,8768,3612,7159,2010,2663,1059,2499,3558,2144,2092,815,1637,502,28,0,9262,107.809,24,58
NYK,1980,N,3505,7255,1783,2386,1137,2205,3342,1976,1917,861,1461,314,56,0,8849,3555,7092,1563,2082,1147,2457,3604,2088,1994,689,1660,452,43,0,8716,103.6506,50,32
PHI,1980,N,3636,7073,1865,2427,1091,2618,3709,2369,2061,857,1702,591,19,0,9156,3307,7337,1850,2487,1286,2287,3573,2033,2044,818,1642,379,48,0,8512,106.0031,62,20
