team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
FTW,1949,N,1878,5901,1634,2331,0,0,0,1364,2065,0,0,0,0,0,5390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5297,0,40,28
INI,1949,N,1982,5283,1529,2146,0,0,0,1342,1676,0,0,0,0,0,5493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5254,0,39,25
MIE,1949,N,2139,5832,1439,1943,0,0,0,1406,1672,0,0,0,0,0,5717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148,0,51,17
NYK,1949,N,1889,5351,1710,2404,0,0,0,1308,1718,0,0,0,0,0,5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5345,0,40,28
PH1,1949,N,1779,5711,1425,2037,0,0,0,1142,1768,0,0,0,0,0,4983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5195,0,26,42
ROC,1949,N,1956,5247,1690,2319,0,0,0,1383,1585,0,0,0,0,0,5602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5073,0,51,17
SHE,1949,N,1727,5022,1654,2338,0,0,0,1279,1766,0,0,0,0,0,5108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5444,0,22,40
ST1,1949,N,1741,5086,1528,2149,0,0,0,1285,1596,0,0,0,0,0,5010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5202,0,26,42
SYR,1949,N,1869,5276,1691,2396,0,0,0,1473,1833,0,0,0,0,0,5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4909,0,51,13
TRI,1949,N,1818,5515,1677,2308,0,0,0,1330,2057,0,0,0,0,0,5313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5350,0,29,35
